GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,pop,hh,r_hh,eviction_rate,rank_eviction_rate,corp_own_rate,rank_corp_own_rate,non_white_rate,rank_non_white_rate,o_mhi,mhi,rank_mhi,r_mhi,rank_r_mhi,white_rate,black_rate,hispanic_rate,asian_rate,othr_race_rate
25025070300,10.0,8.0,9.0,7.0,0.4143497757847533,3909,2448,1433,0.4882568137004674,135.0,0.2094170403587444,52.0,23.68892299820926,131.0,132141.0,117436.0,162.0,90417.0,163.0,76.31107700179074,2.686108979278588,4.118700434893835,14.504988488104376,2.3791250959324675
25025070402,30.0,35.0,48.0,48.0,0.275609756097561,1723,666,482,9.949343282676617,5.0,0.2292682926829268,40.0,93.61578641903657,25.0,0.0,15484.0,6.0,15484.0,9.0,6.3842135809634355,12.826465467208358,9.170052234474753,69.99419616947186,1.6250725478816008
25025070500,20.0,27.0,18.0,45.0,0.4140625,5460,2903,1700,2.64553909748536,74.0,0.15625,100.0,45.75091575091575,87.0,138125.0,71058.0,126.0,38263.0,88.0,54.24908424908425,6.978021978021978,19.5970695970696,17.16117216117216,2.0146520146520146
25025070600,1.0,1.0,1.0,2.0,0.4726530612244898,2240,1210,638,0.31343550904485323,143.0,0.1771428571428571,77.0,17.946428571428573,141.0,97500.0,87060.0,145.0,75163.0,152.0,82.05357142857143,4.0625,5.089285714285714,5.803571428571429,2.9910714285714253
25025070700,11.0,17.0,16.0,23.0,0.4358452138492871,2361,1238,698,3.293130296332153,58.0,0.1771894093686354,75.0,45.48919949174079,89.0,109732.0,61190.0,111.0,43732.0,102.0,54.510800508259216,23.42227869546802,8.21685726387124,9.91105463786531,3.9390088945362134
25025070800,8.0,9.0,33.0,41.0,0.3901569186875891,3706,2044,1246,3.289158970485574,59.0,0.2039942938659058,57.0,37.74959525094441,104.0,166786.0,56589.0,102.0,30673.0,60.0,62.25040474905559,18.483540205072853,9.093362115488397,7.123583378305451,3.0491095520777094
25025070900,13.0,18.0,18.0,50.0,0.4131082423038729,3329,1728,1014,4.9302422134486426,45.0,0.1916583912611718,62.0,55.48212676479424,73.0,130082.0,51034.0,82.0,25388.0,37.0,44.51787323520577,22.43917092219886,21.447882246920997,8.110543706818865,3.484529888855514
25025071101,38.0,20.0,39.0,66.0,0.4016768292682927,3753,2088,1249,5.282963613734534,38.0,0.1516768292682926,106.0,51.05249134026112,78.0,78750.0,44076.0,62.0,23036.0,35.0,48.94750865973887,15.800692779110046,13.66906474820144,17.85238475885958,3.730349054090066
25025071201,6.0,7.0,11.0,25.0,0.3338557993730408,3131,1304,868,2.8780223745940097,67.0,0.2163009404388714,48.0,61.09869051421272,65.0,117019.0,37923.0,52.0,17218.0,17.0,38.90130948578729,18.907697221335038,24.209517725966144,15.202810603641009,2.7786649632705256
25025080100,24.0,19.0,15.0,43.0,0.1739130434782608,3350,681,562,7.643558234794033,16.0,0.3768115942028985,2.0,84.59701492537313,39.0,85375.0,40329.0,55.0,15759.0,11.0,15.402985074626866,43.223880597014926,28.119402985074625,1.3134328358208955,11.940298507462684
